Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
GLOBE MOTOR CORPORATION,Servicepartner,"Kunjwani Bye Pass, 180011 Jammu, Indien, , ",+91(0)191 2469917,,globeman.thusu@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





GOENKA AUTO PVT. LTD.,Servicepartner,"D65/319, Maheshpur,Lahartara,Varanasi, 221002 Varanasi, Indien, , ",+91(0) 0542 - 2372933,,goenkaman@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





JANNAT AUTOMOBILES,Servicepartner,"NH-10, Delhi-Hisar By-Pass Road, 125001 Hisar, Indien, , ",+91(0)9813381778,,Jannat_Automobiles@rediff.com,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





JANNAT AUTOMOBILES,Servicepartner,"125th Milestone Opp. New Grain Market Karnal, NH - 1, G.T Road Karnal, 132001 Karnal, Indien, , ",+91(0)08221000291,,jannat_automobiles@rediffmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





JAYARAJ AUTOMOBILES,Servicepartner,"kappalur, 625001 MADURAI, Indien, , ",+91(0)4522669147,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





JAYARAJ AUTOMOBILES,Servicepartner,"Ediyapuram Tuticorin Main Road, 625018 TUTICORIN, Indien, , ",+91(0)4526501317,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





JEET AGENCIES PVT LTD,Servicepartner,"Siswan Road, 140103 Chandigarh (Kurali), Indien, , ",+91(0)1602640237,,jeetagencies.chd@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





KAKRALA VEHICLES PVT. LTD.,Servicepartner,Vill,+91(0)9781323265,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





KARAN ASHOK MOTORS PVT LTD,Servicepartner,"Arjunpur Bareilly Road, 263139 Haldwani, Indien, , ",+91(0)5946 232244,,karanmantrucks&buses@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





KESAR TRUCKS PRIVATE LIMITED,Servicepartner,"Khasra No. 77/5 & 77/6, Opp. Dixit Deors, Ring Road No - 2, Gondawara, Bhanpuri, 493221 Raipur, Indien, , ",+91(0)7116457119,,vipin.ryp@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





KESAR TRUCKS PRIVATE LIMITED,Servicepartner,"Jindal By-pass Road,Urdana Chowk, 496001 Raigarh, Indien, , ",+91(0)7714099919,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





KESAR TRUCKS PRIVATE LIMITED,Servicepartner,"C/o – Munalal Gupta, Main Road, Old Market ,Dalli-Rajhara Distt- Balod (C.G.), 491228 Dalli-Rajhara, Indien, , ",+91(0) 771 4099919,,pbhasin@kesartrucks.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





KHIVRAJ MOTORS,Servicepartner,"Yeshwanthpur Industrial Area, 560022 Bangalore, Indien, , ",+91(0)8056959719,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





KHIVRAJ MOTORS,Servicepartner,"No. 138 &139 , Kandhavara Village, Nandi Hobli, Chikkaballapur-, 562101 Chikkaballapur, Indien, , ",+91(0)9844118002,,pushpchand@khivraj.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





LUCKNOW RAMAN MOTORS,Servicepartner,"E-135, Transport Nagar,, 226012 Lucknow 226012, Indien, , ",+91(0)9335018960,,drpankajmital@hotmail.com,,yes,yes,yes,,,yes,yes,,,,,,,,,,,,,,,,,,
Pankaj Mital,Geschäftsführer,Telefon: +91(0)9335018960,Mobil: +91(0)9335018960,Fax: -,E-Mail: drpankajmital@hotmail.com,            





MARVEL INDUSTRIES,Servicepartner,"14-1B Omalur Main Road Vellakkalpatti Chettichavadi Post Omalur,, 636012 Salem, Indien, , ",+91(0)1552260303,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MARVEL INDUSTRIES,Servicepartner,"Near JR Petrol Bunk, NH-7, Banglore Bypass Road, Perandapalli, 635109 HOSUR, Indien, , ",+91(0)8220222665,,marvelmanhosur303@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MGB MOTOR & AUTO AGENCIES PVT. LTD.,Servicepartner,"NH # 18, 500 072 Kadapa, Indien, , ",+91(0)8886978638,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MGB MOTOR & AUTO AGENCIES PVT. LTD.,Servicepartner,"Bellary Cross Road, 518003 Kurnool, Indien, , ",+91(0)8886403444,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MGB MOTOR & AUTO AGENCIES PVT. LTD.,Servicepartner,"Survey No. 185/A & 185/B, H. No. 5-100/17, Alluganoor Village, Thimmapur Mandal, 505527 Karimnagar, Indien, , ",+91(0)9885095290,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MGB MOTOR AND AUTO AGENCIES PVT. LTD.,Servicepartner,"Survey No. 359,Plot No. 309 B, Auto Nagar,, 523001 ONGOLE, Indien, , ",+91(0)8886403444,,manmgbongole@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MGB MOTOR AND AUTO AGENCIES PVT.LTD,Servicepartner,"Dommara Pochampally Road, 500039 Hyderabad, Indien, , ",+91(0)4023892284,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MIDWEST AUTOSALES PVT. LTD.,Servicepartner,"Mhow Bye-Pass (NH-3), Near Amrapali Modern Society,Opp. Glamour Highway Township, Village Sonway, Tehsil Mhow, Dist. Indore, M.P, 453331 Indore, Indien, , ",+91(0)0731-2401411,,milind@midwestauto.in,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MORANI TRUCKS,Servicepartner,"Gram Keria Ka Bas Bagru Opp. IOC Petrol Pump N.H.8 Ajmer Road Jaipur, 303007 Jaipur, Indien, , ",+91 (0)9929993337,,moranitrucks@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,
Ramesh Morani,Geschäftsführer,Telefon: +91(0) 9929955441,Mobil: +91(0) 9929955441,Fax: -,E-Mail: -,            





MUDGAL MOTORS,Servicepartner,"Agra Mumbai Road, 474012 Gwalior, Indien, , ",+91(0)9893675666,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MUNDRA AUTOMOBILES PVT LTD,Servicepartner,"Automobile Zone, road no 5, 324005 Kota, Indien, , ",+91(0)7442420736,,mundramantrucks@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





N.MAHALINGAM & CO.,Servicepartner,"51C, Palakkad Main Road, 641001 Coimbatore, Indien, , ",+91(0)4222232809,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





NAVNIT MOTORS PVT. LTD,Servicepartner,"Survey no 44/2. 45/1 ,  Opp Gupta Warehouse, Dapoda,   Tal-Bhiwandi, District- Thane, 421301 Thane, Indien, , ",+91(0)9821141170,,ktrajan@navnitmotors.com,,yes,yes,no,,,yes,,,,,,,,,,,,,,,,,,,
K T Rajan,Leiter Verkauf,Telefon: +91(022)41556677,Mobil: +91(0)9821141170,Fax: -,E-Mail: ktrajan@navnitmotors.com,            





NIHALA AUTO SOLUTIONS PVT. LTD.,Servicepartner,"Plot No. 13-2-2, Icchapor Bhatpor, 394270 Surat, Indien, , ",+91(0)0000 000,,nihalaautosolutions@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





NIHALA AUTO SOLUTIONS PVT. LTD.,Servicepartner,"Plot No. 10B, GIDC, At P.O., 391350 Vadodara, Indien, , ",+91(0)9925157575,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





OM MOTORS,Servicepartner,"F-25, 313003 Udaipur, Indien, , ",+91(0)2942490770,,ommotorudr@yahoo.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





OM MOTORS,Servicepartner,"N.H 79, Ajmer Road, 311001 Bhilwara, Indien, , ",+91(0)9672970931,,ommotorudr@yahoo.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





PATWALA & PATWALA MOTORS PVT LTD.,Servicepartner,"D-01 & D-02, Industrial Area, Bijauli,, 284135 Jhansi, Indien, , ",+91(0)9889051900,,shankar.patwala@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,
Mishra Shankar,Geschäftsführer,Telefon: +91(0)9889051900,Mobil: -,Fax: -,"E-Mail: cmd@patwala.in, shankar.patwala@gmail.com",            





PAULO MOTORS,Servicepartner,"Verna Industrial Estate, 403603 Salcette, Indien, , ",+91(0)8326694016,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





POOMKUDY MOTORS PVT LTD,Servicepartner,"Ind-Zone, Mundampalam, 682021 Kochi, Indien, , ",+91(0)4842535272,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





POOMKUDY MOTORS PVT. LTD.,Servicepartner,"42, Industrial Development Area, 695021 TRIVANDRUM, Indien, , ",+91(0)4712505454,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





POOMKUDY MOTORS PVT. LTD.,Servicepartner,"Door No 9/718-720, 686023 Kottayam, Indien, , ",+91(0)9539063377,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





POOMKUDY MOTORS PVT. LTD.,Servicepartner,"Ranni Road, 689653 Pathanamthitta, Indien, , ",+91(0)4682334627,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





POOMKUDY MOTORS PVT. LTD.,Servicepartner,"Wynad Road, 673572 Calicut, Indien, , ",+91(0)9946422144,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





POOMKUDY MOTORS PVT. LTD.,Servicepartner,"Kakkad-Kunhippally Road, 670005 Kannur, Indien, , ",+91(0)9846368700,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





POONAM AUTOWINGS PVT. LTD.,Servicepartner,"1002, Signature 1, Nr. Divya Bhaskar, S.G Highway, Makarba Road, Ahmedabad, 380051 Ahmedabad, Indien, , ",+91(0)9978849729,,poonamautowings@gmaill.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





RATERIA ENTREPRENEURS PVT LTD,Servicepartner,"Punjabi Para chowk, Shiv Mandir Road,Siliguri,, 734001 Siliguri, Indien, , ",+91(0)9800016004,,rateriacase@gmail.com,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,
Rajesh Rateria,Geschäftsführer,Telefon: +91(0)9800016004,Mobil: +91(0)9800016004,Fax: -,E-Mail: rateriacase@gmail.com,            





S.G.MOTORS,Servicepartner,"192, Survey No. 1628, Bypass Road, N.H.5, Anakapalli, Visakhapatnam, 531001 Visakhapatnam, Indien, , ",+91(0)8498000048,,guru.paila@sgmoto.co.in,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





SAI AUTOMOBILES,Servicepartner,"No. Sy. No.151/3 & 152/1,NH 67, Agalkera Cross,  Gangavathi Road, Hosahalli (Post),  Koppal (Dist), 583 234 Koppal, Indien, , ",+91(0)7259002121,,saiautoman@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,
Jayaprakash G. ,Management,Telefon: +91(0)7259002121,Mobil: +91(0)9845940941,Fax: -,E-Mail: jayaprakash@saibajaj.com;,            





SAI TRUCKING SERVICES PVT LTD,Servicepartner,"Plot no – 1115, NH-33, Near Big Bazar, Dimna-Mango, 831012 Jamshedpur, Indien, , ",+91(0)7004402756,,avs.roadlines@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,
Koushik  Mahapatra,,Telefon: +91(0)8406091976,Mobil: +91(0)8406091976,Fax: -,E-Mail: mantrucksjsr.gm@gmail.com,            





SAMARTH AUTOMOBILES,Servicepartner,"304, E/9, Banglore Pune Highway, Peth : Vadgaon, Taluka: Hatkanangale, Dist – Kolhapur, 416001 Kolhapur, Indien, , ",+91(0) 9823454514,,papapatil11@yahoo.com;,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,
Pradeep Patil,Management,Telefon: +91(0)9822034918,Mobil: +91(0)9822034918,Fax: -,E-Mail: papapatil11@yahoo.com; ,            





SANJOG MOTORS,Servicepartner,"Jhabewal (Bholapur), Near Bonn Bread Factory, Chandigarh Road, District Patiala, Punjab, 141123 Ludhiana, Indien, , ",+91(0) 9888007668,,dhillon2073@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





SHRIRAM MOTOR WORKS PVT LTD,Servicepartner,"60,Industrial Area, Rewa Road, 485001 Satna, Indien, , ",+91(0)7553293166,,rajendra@suranagroup.org,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





SREE MALLIKARJUNA TEMPO SALES & SERVICE,Servicepartner,"Shankar Vihar Extension,PB Road, 577006 Davanagere, Indien, , ",+91(0)8192650999,,,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





STEPHEN MOTORS,Servicepartner,"Plot No. A-100, MIDC Chincholi Industrial Area, Pune Road,, 413006 Solapur, Indien, , ",+91(0)9552596189,,stephenmotorssolapur@gmail.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,
Suyog Tribhuvan,Centerleiter,Telefon: +91(0)9552596189,Mobil: +91(0)9552596189,Fax: -,E-Mail: tribhuvanrajiv@yahoo.com,            





SUMEET AUTOMATION,Servicepartner,"Dal-Jal bypass,1 st ,Opp. Nirankari bhawan, Near Saili Road, Pathankot, 440001 Pathankot, Indien, , ",+91(0) 9814053279,,sempb2@yahoo.co.in,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





SURANASHREE AUTOWHEELS PVT LTD,Servicepartner,"Lalghati,Halalpura, 462030 Bhopal, Indien, , ",+91(0)7553293166,,service.man@suranagroup.org,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





SURANASHREE AUTOWHEELS PVT. LTD.,Servicepartner,"Suranashree Autowheels Pvt. Ltd, Shop no 737, Oposite Panchsheel Petrol Pump, Waddhamana, Amravati Road, Nagpur, 440023 Nagpur, Indien, , ",+01(0) 9713607777,,service.man@suranagroup.org,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





TIRUPATI DIESEL SALES & SERVICE,Servicepartner,"Crossing Makkar Jappa Village Road N H-8, Keshriyaji Distt:- Udaipur, Rajasthan, 310001 Keshariyaji, Indien, , ",+91(0)9414161820,,tdssudr@yahoo.co.in,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





TIRUPATI DIESELS,Servicepartner,"Tejir Fanta Patwar, Indo Ka Bala, Kolayat, 334302 Bikaner, Indien, , ",+91(0)9414157622,,tdssudr@yahoo.co.in,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





VEDHA MOTORS PVT LTD,Servicepartner,"Bilaspur - Tauru Road, 122413 Gurgaon, Indien, , ",+91(0)8130929991,,info@vedhamotors.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





VIJAI EARTHMOVING EQUIPMENT PVT LTD,Servicepartner,"No. 2, Kasthuri Nagar, Kasthuri Industrial Estate, Ayanambakkam, Maduravoyal Post, 600 095 Chennai, Indien, , ",+91(044)2653900,,vijaiearthmovers@gmail.com,,yes,yes,yes,,,yes,yes,,,,,,,,,,,,,,,,,,
Saravana Sekar G. ,Geschäftsführer,Telefon: +91(044)2653900,Mobil: +91(0)9884252225,Fax: -,E-Mail: vijaimd.man@gmail.com,            





WORLDWIDE AUTOMOTIVE WORKS PVT. LTD.,Servicepartner,"1-T 76/11, Kulur Bangra Road, Kulur, 575013 Mangalore, Indien, , ",+91(0)0824-2455911,,sales@worldwideauto.in,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





