Company Name	Service Partner	Address	Phone Number	Fax	Email	Website	LKW-Service	Bus-Service	MAN Van-Service	Schiffsmotoren-Service	Industriemotoren-Service	LKW-Verkauf	Bus-Verkauf	MAN Van-Verkauf	Schiffsmotoren-Verkauf	Industriemotoren-Verkauf	LKW-MAN_TopUsed	Bus-MAN_TopUsed	MAN Van-MAN_TopUsed	Schiffsmotoren-MAN_TopUsed	Industriemotoren-MAN_TopUsed	LKW-BusTopService	Bus-BusTopService	MAN Van-BusTopService	Schiffsmotoren-BusTopService	Industriemotoren-BusTopService	LKW-eMobility	Bus-eMobility	MAN Van-eMobility	Schiffsmotoren-eMobility	Industriemotoren-eMobility
"CYMA MOTORS, S.A. DE C.V."	Servicepartner	"Carretera Federal Puebla – Tlaxcala Km. 1010,Colonia Agricola Ignacio Zaragoza, 72100 Cuautlancingo, Puebla, Mexico, , "	+52 (22) 22634300		2070rtbvws@vw-concesionarios.com		yes	yes	no			yes	yes																		
																															
																															
																															
																															
																															
"DIST. VOLKSWAGEN DEL BAJIO, S.A. DE C.V."	Servicepartner	"Carretera 45 León – Silao Km 18, Col. Nuevo México., 36282 Silao, Guanajuato, Mexico, , "	+52 (47) 77902027				yes	yes	no			yes	yes																		
Gerardo Vera	Leiter After Sales	Telefon: +52 (47) 7792027	Mobil: -	Fax: -	E-Mail: gerardo.vera@vw-camionesbajio.com	            																									
																															
																															
																															
																															
																															
DIST. VOLKSWAGEN DEL BAJÍO S.A DE C.V SUCURSAL AGUASCALIENTES S.A DE C.V	Servicepartner	"Av.José María Chávez No. 2302A Col. Ciudad Industrial, 20290 Aguascalientes, Mexico, , "	+52(44)99712657		luis.bustos@vw-camionesbajio.com		yes	yes	no																						
																															
																															
																															
																															
																															
DIST. VOLKSWAGEN DEL BAJÍO S.A DE C.V SUCURSAL QUERÉTARO	Servicepartner	Carr. Mexico-Querétaro Km.190 	+52(44)22531297				yes	yes	no																						
Juan José Rodríguez		Telefon: +52(44)22531297	Mobil: -	Fax: -	E-Mail: juan.rodriguez@vw-camionebajios.com	            																									
																															
																															
																															
																															
																															
DIVOL TRUCK AND BUSES	Servicepartner	"Av. José López Portillo 145A,San Mateo Cuautepec, 54948 Tultitlán,Estado de México, Mexico, , "	+ (52)5562362601		ggeneralman@vw-divolnorte.com.mx		yes	yes	no			yes	yes																		
Jesús Pastor	Geschäftsführer	Telefon: + (52) 5562362601	Mobil: -	Fax: -	E-Mail: ggeneralman@vw-divolnorte.com.mx	            																									
																															
																															
																															
																															
																															
EBSA MOTORS S.A DE C.V	Servicepartner	"Blvd. Luis Donaldo Colosio Lote 26-02 Mza 8 SM 309, Municipio Benito Juárez, 77560 Cancún, Mexico, , "	+52(99)8821753				yes	yes	no																						
Roberto Padilla	Leiter Werkstatt	Telefon: +52(99)8821753	Mobil: -	Fax: -	E-Mail: roberto.padilla@serviciodelcaribe.com	            																									
Rigoberto Ramirez	Leiter Teile und Zubehör	Telefon: +52(99)8821753	Mobil: -	Fax: -	E-Mail: rigoberto.ramirez@serviciodelcaribe.co	            																									
																															
																															
																															
																															
																															
EURO ALEMANA CAMIONES S.A DE C.V	Servicepartner	"Periférico Sur 6396, Col. Lomas del Cuatro., 45599 Tlaquepaque, Jalisco, Mexico, , "	+52 (33) 36685730		alfredo.reyes@euroalemanacamiones.com.mx		yes	yes	no			yes	yes																		
Alfredo Reyes	Leiter After Sales	Telefon: +52(33)36685730	Mobil: -	Fax: -	E-Mail: -	            																									
																															
																															
																															
																															
																															
"LIDER CAMION, S.A. DE C.V."	Servicepartner	"Km 32.5 Autopista Mexico-Queretaro Lt 3, 54940 Tultitlan, Edo. Mexico, Mexico, , "	+52 (55) 58619841		lidercamion@grupoautofin.com		yes	yes	no			yes	yes																		
																															
																															
																															
																															
																															
MAN TALLER QUERÉTARO	Servicepartner	"Circuito el Marqués, No.2, Parque Industrial El Marqués, 76246 El Marqués, Mexico, , "	+52(44)21014600				yes	yes	no			yes	yes																		
Sergio López	Leiter Werkstatt	Telefon: +52(44)21014600	Mobil: -	Fax: -	E-Mail: sergio.lopez@vwcamiones.com	            																									
																															
																															
																															
																															
																															
MAN TRUCK & BUS MEXICO S. A. DE C. V.	Servicepartner	"ASta. Rosa de Viterbo S/N; Lote 7; Manzana II, Parque Industrial Finsa, 76246 El Marqués; Qro, Mexico, , "	+52 (442)153 70 00	+52 (442) 153 70 74			yes	yes	no			yes	yes																		
